ped_id,n_frames,rg_mean,rg_std,dmax_mean,rama_favored_pct,rota_favored_pct,cbdev_mean,clash_mean,helix_frac,ca_mean_dev,pro_phi_mean,bond_CA_C_mean,bond_N_CA_mean,bond_C_N_mean
PED00003,500,36.054228579848115,7.889302692041598,109.97978652000427,87.05151515151515,89.56310679611651,0.7244960943180837,391.12,0.0005970149253731343,0.00048022733387611584,-40.60079582032349,1.5341799880435218,1.4793123135264241,1.3326245324772998
PED00006,500,38.57304280136312,8.260412975630778,118.03929091453553,87.44335664335664,89.47857142857143,0.7249935387941148,423.196,0.0009655172413793104,0.0004814228024345758,-43.07351552487484,1.5335912226380974,1.4790556591206583,1.3327943358851804
PED00016,500,30.462908056443577,6.526216949280451,92.25015642166137,86.17614678899082,88.61521739130434,0.7257031585221343,338.656,0.000990990990990991,0.00048011850477390304,-41.30301715442373,1.5343640362743858,1.4801021426894643,1.3325571143735537
PED00074,500,9.621554960735688,1.2003554727866133,24.15599324941635,95.14545454545454,91.05,0.7127291539735519,41.512,0.0,0.00047988604845718673,,1.5384771855886166,1.4854294654406035,1.333191956361135
PED00140,500,37.10683554717423,7.216744699742319,112.00349332809448,90.58848920863309,90.64716981132077,0.7109841523963499,419.972,0.0014893617021276596,0.0004800456390668764,-36.827069768647355,1.5355592588355356,1.4797766272531334,1.3328073031425476
PED00141,500,37.48058207193371,7.792877307045841,113.72449837684631,90.56879432624113,90.93518518518519,0.7170710500824508,423.32,0.0006993006993006993,0.00048129189242884616,-42.444113745599985,1.5367180912336271,1.4803802472227938,1.3328776433652556
PED00154,500,24.329907756066664,4.6756601557569235,73.43451383590698,80.80540540540541,87.69666666666667,0.7202565169199873,224.386,0.0011842105263157896,0.0004807518474438104,-38.58536578218233,1.5361425495555527,1.4813907502717092,1.3321434202384947
PED00155,500,13.765740877022527,2.1330210652335886,37.68597430706024,93.22727272727272,91.76190476190477,0.7047612072026188,74.936,0.0,0.00047888696360481235,,1.5382675486654043,1.483805584922433,1.3328139159783072
PED00181,500,22.716488933237745,4.408334315653964,68.32192494869233,85.92307692307692,89.41538461538462,0.7219388466004282,187.504,0.0010149253731343284,0.00048021231755421414,-35.88127163735032,1.534194110076819,1.4793064444972506,1.3327501824046626
PED00183,500,67.93386672472134,16.154803162867427,208.5121858596802,87.46901098901098,88.29050000000001,0.740090537238294,1532.524,0.0006301969365426696,0.00048074447506561333,-43.45084183404378,1.636851141030731,1.5711435504650912,1.3334414912043957
PED00184,500,38.371843253675586,8.682590105924312,116.47557881355286,88.20526315789475,89.3021897810219,0.7338426521017294,447.624,0.0006623376623376623,0.0004810018503482173,-39.64054523503019,1.5350323003174424,1.4803597470707708,1.3329179499601227
PED00229,500,26.900937170182875,5.1074722351474735,79.83866604804993,79.4732394366197,86.51764705882353,0.731269742497644,246.686,0.0006575342465753425,0.0004795751225066528,-36.559463060611556,1.5319427223189237,1.4812682007894122,1.3324188228547573
PED00231,500,13.166057290828352,1.9729615512566707,36.17106031417847,89.10909090909091,89.03,0.715759707473928,67.45,0.0005,0.00047812676723363746,-30.36509735482495,1.538839202220241,1.4800308070580164,1.3327742760596069
PED00233,500,33.00317446936649,7.45374283900226,100.606572265625,88.65384615384615,89.5045045045045,0.7308783217526261,399.892,0.0011363636363636363,0.00048174188611011974,-37.42612521593414,1.5342347859108088,1.480319569385413,1.332637080179826
PED00238,500,13.427011872675408,2.0362433189518443,37.019396567344664,88.8,88.79,0.7060009913855188,66.872,0.00025,0.0004817164197438615,-38.612004191947705,1.5384420349250236,1.4827170683840911,1.333091877263525
PED00442,500,35.522320651078466,7.804149277766156,106.77927651405335,85.73129770992367,89.06991869918699,0.7288625595736429,450.906,0.0006315789473684211,0.0004812945474105871,-38.904075789777984,1.5344165614413139,1.4802694845979374,1.3325509740421266
PED00468,500,17.291317644858005,3.255415448365069,49.330610365867614,86.76,90.21818181818182,0.7126913815189917,145.672,0.0014761904761904762,0.0004796619649961854,-33.64239048067729,1.536637962820984,1.4811201223503976,1.332153085284117
PED00483,500,21.30355984663392,3.9360743719744256,62.23205883026123,92.1450980392157,90.61777777777777,0.7131158038430411,159.072,0.0011320754716981133,0.0004793238845404801,,1.53478109111426,1.4795966755219225,1.332752048423657
PED00484,500,38.92468564496632,7.920756391874456,119.02670441627502,87.6027972027972,89.75,0.7255241990752066,420.202,0.0008551724137931035,0.00048131264145686773,-40.16451757797244,1.5341904609565076,1.479599000551783,1.3325622395492263
PED00493,500,38.39438736111527,9.075070993086694,121.52092237472534,83.90597014925373,90.82209944751382,0.6989243593924653,785.186,0.0023555555555555556,0.00048141577029627686,-36.62332349067035,1.535037352097476,1.4776280386717233,1.3323980190629852
PED00494,500,38.12523538030457,9.136372976984909,121.37405351638795,84.06343283582089,90.83314917127072,0.6988095927459753,785.912,0.002074074074074074,0.00048137338584196255,-39.0919531996569,1.5353476331984557,1.4772705619622162,1.332515766375127
PED00495,500,37.76649441750219,8.844030322079348,120.36084040641785,83.86940298507463,90.6232044198895,0.6934508442353559,788.476,0.0023037037037037036,0.00048124909303784354,-37.48710184154779,1.5353346687634786,1.4769876600790905,1.3322297446594804
PED00536,500,25.37720693316587,4.8257932637715815,74.59771149635316,86.92463768115942,89.1639344262295,0.7195224457340601,205.688,0.0007042253521126761,0.00048221626360049104,-38.25682544627189,1.5351981480171981,1.48229696559906,1.332672369170189
